policy,total_registered_cost_units,candidate_evaluation_cost_units,ordering_cost_units,probe_cost_units,reference_refinement_cost_units,retry_or_other_cost_units,component_sum_matches_total,budget_registered_cost_units,lower_than_exhaustive_percent,higher_than_fixed_order_percent,all_64_blocks_match_exhaustive,unbilled_loss_access_count,budget_exceeded,source_json_path,source_result_sha256
exhaustive,132096,131072,0,512,512,0,True,300000,0.00000000,75.94033031,True,0,False,$.benchmark_results[9].block_records[*].policy_results.exhaustive.cost_ledger,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
fixed_order,75080,57672,16384,512,512,0,True,300000,43.16254845,0.00000000,True,0,False,$.benchmark_results[9].block_records[*].policy_results.fixed_order.cost_ledger,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
development_frozen_order,89816,72408,16384,512,512,0,True,300000,32.00702519,19.62706446,True,0,False,$.benchmark_results[9].block_records[*].policy_results.development_frozen_order.cost_ledger,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
adaptive_fidelity,92592,70360,16384,512,5336,0,True,300000,29.90552326,23.32445392,True,0,False,$.benchmark_results[9].block_records[*].policy_results.adaptive_fidelity.cost_ledger,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
