endpoint,reported_numerator,recomputed_numerator,denominator,reported_status,recomputed_status,clopper_pearson_applicable,source_result_sha256
A0,0,0,256,PASS,PASS,False,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
C,0,0,9,PASS,PASS,False,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
D0,0,0,64,PASS,PASS,False,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
D1,0,0,1,PASS,PASS,False,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
D2-MEM,0,0,4,PASS,PASS,False,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
