endpoint,event_semantics,events,trials,one_sided_alpha_name,one_sided_alpha,one_sided_lower,one_sided_upper,two_sided_alpha_name,two_sided_alpha,two_sided_lower,two_sided_upper,threshold,decision,reported_upper_absolute_difference,reported_lower_absolute_difference,reported_two_upper_absolute_difference,source_result_sha256
A1,ADVERSE_BLOCK,0,64,endpoint_alpha,0.05,,0.04572970233076246063023830437,endpoint_alpha,0.05,0,0.05600908938663657472380682881,0.05,CRITERION_MET,0.00000000000000004936976169563270450199231818,0.0,0.000000000000000004723806828811487728801009784,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
B0,ADVERSE_BLOCK,0,64,endpoint_alpha,0.05,,0.04572970233076246063023830437,endpoint_alpha,0.05,0,0.05600908938663657472380682881,0.05,CRITERION_MET,0.00000000000000004936976169563270450199231818,0.0,0.000000000000000004723806828811487728801009784,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
B1,ADVERSE_BLOCK,0,64,endpoint_alpha,0.05,,0.04572970233076246063023830437,endpoint_alpha,0.05,0,0.05600908938663657472380682881,0.05,CRITERION_MET,0.00000000000000004936976169563270450199231818,0.0,0.000000000000000004723806828811487728801009784,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
D2-CERT,VIOLATION_ONLY_FOR_CP;ADVERSE_BLOCK_FOR_NUMERATOR,0,64,calibration_beta_for_upper;locked_gamma_for_lower,0.05,0,0.04572970233076246063023830437,locked_gamma,0.05,0,0.05600908938663657472380682881,0.05,NOT_CONTRADICTED_BY_LOCKED_AUDIT,0.00000000000000004936976169563270450199231818,0.0,0.000000000000000004723806828811487728801009784,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
E,ADVERSE_BLOCK,0,64,endpoint_alpha,0.05,,0.04572970233076246063023830437,endpoint_alpha,0.05,0,0.05600908938663657472380682881,0.05,CRITERION_MET,0.00000000000000004936976169563270450199231818,0.0,0.000000000000000004723806828811487728801009784,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
F0,ADVERSE_BLOCK,0,64,endpoint_alpha,0.05,,0.04572970233076246063023830437,endpoint_alpha,0.05,0,0.05600908938663657472380682881,0.05,CRITERION_MET,0.00000000000000004936976169563270450199231818,0.0,0.000000000000000004723806828811487728801009784,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
