policy,recomputed_total_cost_units,reported_total_cost_units,budget,recomputed_budget_exceeded,recomputed_block_failures,source_result_sha256
exhaustive,132096,132096,300000,False,0,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
fixed_order,75080,75080,300000,False,0,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
development_frozen_order,89816,89816,300000,False,0,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
adaptive_fidelity,92592,92592,300000,False,0,6fb3f08e48b4d3496e190fbc38b029ee7c15e327c504924f8c03b6e2083aec9c
